,video-id,t-start,t-end,label
0,5_5,0.0,7.7,27
1,5_5,7.7,15.833333333333332,85
2,5_5,15.833333333333332,23.83333333333333,3
3,5_5,23.83333333333333,30.866666666666667,4
4,5_5,30.866666666666667,42.7,12
5,5_5,42.7,49.13333333333334,11
6,5_5,49.13333333333334,55.93333333333334,86
7,5_5,55.93333333333334,61.400000000000006,5
8,5_5,61.400000000000006,68.73333333333333,87
9,5_5,68.73333333333333,73.83333333333333,88
10,5_5,73.83333333333333,85.36666666666666,89
11,5_5,85.36666666666666,95.3,90
12,5_5,95.3,107.46666666666668,91
13,5_5,107.46666666666668,113.73333333333332,92
14,5_5,113.73333333333332,121.76666666666668,93
15,5_5,121.76666666666668,127.33333333333331,94
16,5_5,127.33333333333331,132.73333333333332,95
17,5_5,132.73333333333332,140.96666666666664,96
18,5_5,140.96666666666664,153.4333333333333,97
19,5_5,153.4333333333333,171.46666666666664,98
20,5_5,171.46666666666664,178.36666666666665,99
21,5_5,178.36666666666665,184.4,95
22,5_5,184.4,200.0333333333333,100
23,5_5,200.0333333333333,211.0,3
24,5_5,211.0,217.7333333333333,4
25,5_5,217.7333333333333,224.39999999999995,13
26,5_5,224.39999999999995,234.13333333333327,0
27,5_5,234.13333333333327,242.2666666666666,21
28,5_5,242.2666666666666,250.2666666666666,11
29,5_5,250.2666666666666,256.5666666666666,101
30,5_5,256.5666666666666,273.7333333333333,102
31,5_5,273.7333333333333,296.63333333333327,103
32,5_5,296.63333333333327,302.29999999999995,104
33,5_5,302.29999999999995,311.4,105
34,10_5,0.0,4.8,64
35,10_5,4.8,9.5,52
36,10_5,9.5,14.333333333333332,36
37,10_5,14.333333333333332,16.133333333333333,65
38,10_5,16.133333333333333,24.23333333333333,66
39,10_5,24.23333333333333,36.13333333333333,67
40,10_5,36.13333333333333,40.53333333333333,68
41,10_5,40.53333333333333,50.33333333333333,69
42,10_5,50.33333333333333,55.266666666666666,36
43,10_5,55.266666666666666,60.13333333333333,70
44,10_5,60.13333333333333,71.2,71
45,10_5,71.2,85.93333333333334,72
46,10_5,85.93333333333334,90.5,68
47,10_5,90.5,96.43333333333334,69
48,10_5,96.43333333333334,107.36666666666667,73
49,10_5,107.36666666666667,112.93333333333334,74
50,10_5,112.93333333333334,128.0,75
51,10_5,128.0,141.53333333333333,76
52,10_5,141.53333333333333,148.73333333333332,77
53,10_5,148.73333333333332,153.36666666666665,78
54,10_5,153.36666666666665,158.73333333333332,79
55,10_5,158.73333333333332,171.53333333333333,80
56,10_5,171.53333333333333,183.76666666666665,81
57,10_5,183.76666666666665,208.3,82
58,10_5,208.3,231.16666666666663,83
59,10_5,231.16666666666663,236.06666666666663,56
60,10_5,236.06666666666663,250.46666666666667,84
61,10_6,0.0,6.9,64
62,10_6,6.9,13.433333333333334,52
63,10_6,13.433333333333334,18.266666666666666,36
64,10_6,18.266666666666666,25.6,65
65,10_6,25.6,37.9,66
66,10_6,37.9,59.5,67
67,10_6,59.5,64.9,68
68,10_6,64.9,78.73333333333333,69
69,10_6,78.73333333333333,84.83333333333333,36
70,10_6,84.83333333333333,91.8,70
71,10_6,91.8,105.66666666666666,71
